id,question,source,choice1,choice2,choice3,choice4,answer
64,明治10年代に自由民権運動の宣伝媒体として流行したジャンルはどれか,明治,写実小説,政治小説,社会小説,風俗小説,2
65,石川啄木が大逆事件に衝撃を受け文学の傍観者性を拒絶した評論は何か,明治,時代閉塞の現状,一握の砂,悲しき玩具,食ふべき詩,1
66,『高野聖』の作者として正しいものはどれか,明治,国木田独歩,岩野泡鳴,泉鏡花,内田魯庵,3
67,『耽溺』の作者として正しいものはどれか,明治,内田魯庵,岩野泡鳴,斎藤緑雨,北村透谷,2
68,『義血侠血』の作者として正しいものはどれか,明治,泉鏡花,国木田独歩,北村透谷,内田魯庵,1
69,『金色夜叉』の作者として正しいものはどれか,明治,尾崎紅葉,泉鏡花,幸田露伴,樋口一葉,1
70,『たけくらべ』の作者として正しいものはどれか,明治,与謝野晶子,田山花袋,国木田独歩,樋口一葉,4
71,『坊っちゃん』の作者として正しいものはどれか,明治,森鷗外,永井荷風,夏目漱石,二葉亭四迷,3
72,『若菜集』の作者として正しいものはどれか,明治,北村透谷,高村光太郎,佐藤春夫,島崎藤村,4
73,『みだれ髪』の作者として正しいものはどれか,明治,与謝野晶子,樋口一葉,正岡子規,北原白秋,1
74,『舞姫』の文学的性格として正しいものはどれか,明治,自伝的恋愛小説,社会派推理,自然主義告白,歴史小説,1
75,徳冨蘆花が家父長制の矛盾を突いた『不如帰』などのジャンルはどれか,明治,私小説,政治小説,家庭小説,告白小説,3
76,白樺派の思想的特徴として正しいものはどれか,大正,階級闘争重視,人道主義重視,耽美主義追求,虚無思想強調,2
77,大正期の耽美派作家として正しいものはどれか,大正,志賀直哉,島崎藤村,谷崎潤一郎,田山花袋,3
78,志賀直哉の大正期作品に共通する特徴として誤っているものはどれか,大正,簡潔な文体,社会革命の主張,内面倫理の追究,日常題材重視,2
79,大正期文学が明治文学から継承しなかった要素として誤っているものはどれか,大正,内面描写の重視,西洋思想受容,個人表現の追究,道徳的教訓性,4
80,有島武郎が主張した本能的な生命力と愛を肯定する思想はどれか,大正,人道主義,生長の哲学,理想主義,虚無主義,2
81,芥川龍之介が提唱した芸術的な再構成や技巧を重視する態度はどれか,大正,新現実主義,自然主義,耽美主義,シュルレアリスム,1
82,大正時代に隆盛した作家が自身の経験や内面を綴る日本特有の形式はどれか,大正,心境小説,私小説,散文詩,告白文学,2
83,萩原朔太郎『月に吠える』が詩史において画期的とされる理由は何か,大正,漢詩形式の復活,口語自由詩の芸術的完成,定型詩への回帰,象徴主義の否定,2
84,平塚らいてうが創刊した日本初の女性による思想雑誌はどれか,大正,女人芸術,青鞜,白樺,明星,2
85,芥川との論争において谷崎が主張したプロットの建築的面白さはどれか,大正,構造的興味,写生的リアリズム,象徴的空間,装飾美,1
86,有島武郎の作品として正しいものはどれか,大正,暗夜行路,斜陽,春琴抄,或る女,4
87,『檸檬』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,梶井基次郎,菊池寛,3
88,佐藤春夫の作品として正しいものはどれか,大正,田園の憂鬱,月に吠える,野火,点と線,1
89,室生犀星の作品として正しいものはどれか,大正,金閣寺,獄門島,ドグラマグラ,あにいもうと,4
90,『明暗』の作者として正しいものはどれか,大正,森鷗外,志賀直哉,夏目漱石,谷崎潤一郎,3
91,『城の崎にて』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,菊池寛,佐藤春夫,2
92,『地獄変』の作者として正しいものはどれか,大正,有島武郎,里見弴,長塚節,芥川龍之介,4
93,『父帰る』が描く中心テーマとして正しいものはどれか,大正,家族倫理,恋愛至上,政治批判,宗教問題,1
94,中里介山が『大菩薩峠』で提示した大衆文学の先駆的ジャンルはどれか,大正,時代小説,大衆小説（実録文学）,政治小説,冒険小説,2
95,村山知義らの「マヴォ（MAVO）」が掲げた伝統破壊の思潮はどれか,大正,ダダイスム,構成主義,シュルレアリスム,未来派,1
96,昭和初期に階級闘争や労働者の現実を重視した文学思潮はどれか,昭和,新感覚派,プロレタリア文学,日本浪漫派,白樺派,2
97,1930年代に共産主義思想を放棄した作家がその苦悩を描いたジャンルはどれか,昭和,私小説,心境小説,転向文学,社会小説,3
98,坂口安吾が戦後「堕ちること」に人間の真実を見出した批評はどれか,昭和,日本文化私観,堕落論,青春論,白痴,2
99,安部公房が『砂の女』で描いた不条理に適応していく世界観はどれか,昭和,写実主義,実存主義・不条理文学,新感覚派,私小説,2
100,松本清張によって確立された社会の構造的悪を告発するジャンルはどれか,昭和,本格推理,変格ミステリー,社会派推理小説,私立探偵もの,3
101,1960年代末の政治の季節が去った後の喪失感を背景としたグループ名はどれか,昭和,戦後派,第三の新人,内向の世代,新感覚派,3
102,中上健次が「紀州連作」において物語装置とした空間はどこか,昭和,路地の神話,共同体の崩壊,血の論理,地方の発見,1
103,昭和50年代に村上春樹らの登場により台頭した記号的な思潮はどれか,昭和,ポストモダン文学,新・新人類の文学,ライト・ノベル,都市文学,1
104,小林秀雄が作品そのものを批評の対象とする姿勢を確立したことは何か,昭和,批評の自律,印象批評,社会学的批評,主観批評,1
105,三島由紀夫が『豊饒の海』で輪回転生を通じて描こうとした概念は何か,昭和,唯識,絶対美,天皇崇拝,滅びの美学,1
106,『銀河鉄道の夜』の作者として正しいものはどれか,昭和,井伏鱒二,宮沢賢治,横溝正史,夢野久作,2
107,江戸川乱歩の作品として誤っているものはどれか,昭和,人間椅子,孤島の鬼,怪人二十面相,斜陽,4
108,『黒い雨』の作者として正しいものはどれか,昭和,大岡昇平,野間宏,井伏鱒二,小島信夫,3
109,『火垂るの墓』の作者として正しいものはどれか,昭和,安岡章太郎,井上靖,遠藤周作,野坂昭如,4
110,『楢山節考』の作者として正しいものはどれか,昭和,石坂洋次郎,深沢七郎,松本清張,横溝正史,2
111,『個人的な体験』の作者として正しいものはどれか,昭和,仮面の告白,大江健三郎,砂の女,天平の甍,2
112,『ドグラマグラ』の作者として正しいものはどれか,昭和,夢野久作,宮沢賢治,野坂昭如,井伏鱒二,1
113,『野火』の主題として最も適切なものはどれか,昭和,極限状況の人間,英雄的戦争,国家賛美,郷土愛,1
114,『山椒魚』の寓意として正しいものはどれか,昭和,知識人の閉塞,戦争批判,恋愛葛藤,宗教懐疑,1
115,保田與重郎らを中心に、日本独自の古典回帰や美を称揚したグループはどれか,昭和,日本浪漫派,新戯作派,白樺派,文学界,1
116,『ノルウェイの森』で世界的なブームを巻き起こした作者は誰か,平成,川上未映子,村上春樹,吉本ばなな,島田雅彦,2
117,2004年に史上最年少で芥川賞を受賞した二人は誰か,平成,小川洋子・多和田葉子,綿矢りさ・金原ひとみ,青山七恵・村田沙耶香,本谷有希子・上田岳弘,2
118,ミステリー界で「社会派」の筆頭とされ、『火車』や『模倣犯』を著した作家は誰か,平成,桐野夏生,東野圭吾,宮部みゆき,湊かなえ,3
119,現代の閉塞感や身体性を描き、芥川賞を受賞した村田沙耶香の作品はどれか,平成,タッタちゃん,しろいろの街の,地球星人,コンビニ人間,4
120,東日本大震災以降の言葉を問い、多言語的なアプローチで知られる多和田葉子の作品はどれか,平成,献灯使,容疑者の夜行,雪の練習生,旅をする練習,1
121,お笑い芸人として初の芥川賞受賞となり、社会的話題となった又吉直樹の作品はどれか,平成,劇場,人間,火花,東京百景,3
122,多和田葉子が提唱した言語間を移動しながら創作する在り方は何か,平成,翻訳文学,二言語主義,エクソフォニー,比較文学,3
123,福島第一原発事故後の風景と個人の記憶を結びつけた柳美里の作品はどれか,平成,ゴールドラッシュ,命,JR上野駅公園口,家族シネマ,3
124,「内面」の記述を放棄し、徹底した外部描写を試みた平野啓一郎のデビュー作はどれか,平成,日蝕,一月物語,決壊,ドーン,1
125,『盤上の夜』において、ゲームの論理と実存を結びつけた宮内悠介の作品は何文学とされるか,平成,推敲文学,SF（ニュー・ウェーブ）,歴史小説,私小説,2
126,正岡子規の死後、俳句において季語や定型に縛られない「自由律俳句」を提唱した河東碧梧桐の運動を何と呼ぶか,明治・大正,写生派,新傾向俳句,有季定型派,伝統俳句,2
127,明治末期、北原白秋が『思ひ出』において、異国情緒や官能的な感覚を歌い上げ、日本の象徴詩の頂点を示した詩集はどれか,明治,邪宗門,抒情小曲集,海の声,道程,1
128,大正期、自由律短歌の代表者であり、「分け入つても分け入つても青い山」などの句で知られる放浪の俳人は誰か,大正,石川啄木,種田山頭火,尾崎放哉,斎藤茂吉,2
129,昭和初期、北川冬彦らを中心に、既成の抒情を排し、即物的な描写や機械美を追求した詩の運動を何と呼ぶか,昭和,シネマ詩（新詩論）,荒地派,象徴詩,四季派,1
130,戦後、黒田三郎や鮎川信夫らが結成し、戦争の虚無と荒廃から新しい詩の言葉を紡ごうとしたグループはどれか,昭和,歴程,四季,,,
131,明治末期、自然主義の台頭に対し、政府が「徳育」の観点から文学を善導しようと設置し、鷗外らが参加した組織は何か,明治,教化委員会,文芸委員会,検閲局,帝国芸術院,2
132,昭和初期、プロレタリア文学への弾圧が強まる中、共産党員作家・小林多喜二が築地警察署で拷問死した事件は何年か,昭和,1925年,1929年,1933年,1937年,3
133,戦時下において、谷崎潤一郎の『細雪』や島崎藤村の『夜明け前』が、軍部から「時局にそぐわない」として受けた処置は何か,昭和,掲載禁止・発禁,内容改竄,国外追放,推薦図書指定,1
134,終領下の日本において、GHQ（連合国軍最高司令官総司令部）が行った、軍国主義的・封建的表現を禁じた検閲を何と呼ぶか,昭和,特高検閲,プレスコード,教化統制,削除命令,2
135,明治期、「青鞜」に参加し、後に『おはん』などの名作で人間の業と愛欲を冷徹に描き続けた作家は誰か,明治・昭和,宇野千代,林芙美子,平林たい子,岡本かの子,1
136,大正・昭和期、芸術家・岡本一平の妻であり、生命力に溢れた華麗な文体で『生々流転』などを著した作家は誰か,大正・昭和,有吉佐和子,幸田文,岡本かの子,円地文子,3
137,戦後、父・露伴の死を看取った経験をもとに、『父』や『流れる』において、凛とした生活者の視点を描いた作家は誰か,昭和,幸田文,森茉莉,山崎豊子,茨木のり子,1
138,昭和中期、日本の古典（『源氏物語』など）の現代語訳や、女性の情念を描いた『なまみこ物語』で知られる作家は誰か,昭和,瀬戸内寂聴,田辺聖子,円地文子,河野多惠子,3
139,昭和初期、堀辰雄が『聖家族』などで試みた、フランス心理主義文学（プルーストら）の影響下で人間の意識を分析する手法を何と呼ぶか,昭和,新感覚派,新心理主義,自然主義,日本浪漫派,2
140,梶井基次郎が『檸檬』や『冬の日』において、自身の肺結核による「死の予感」を視覚的な色彩や物象に託して描いた文芸的性質は何か,昭和,感覚的象徴主義,写実主義,社会主義,人道主義,1
141,『多情多恨』の作者として正しいものはどれか,明治,幸田露伴,尾崎紅葉,坪内逍遥,山田美妙,2
142,『あざみ』の作者として正しいものはどれか,明治,二葉亭四迷,国木田独歩,斎藤緑雨,内田魯庵,3
143,『五重塔』の作者として正しいものはどれか,明治,尾崎紅葉,泉鏡花,幸田露伴,徳冨蘆花,3
144,『地獄の歌』の作者として正しいものはどれか,明治,岩野泡鳴,田山花袋,島崎藤村,近松秋江,1
145,『草枕』の作者として正しいものはどれか,明治,森鷗外,夏目漱石,泉鏡花,徳冨蘆花,2
146,『にごりえ』の作者として正しいものはどれか,明治,与謝野晶子,樋口一葉,田村俊子,木良子,2
147,『或る女』の作者として正しいものはどれか,大正,志賀直哉,武者小路実篤,有島武郎,里見弴,3
148,『奉教人の死』の作者として正しいものはどれか,大正,芥川龍之介,菊池寛,久米正雄,宇野浩二,1
149,『真理先生』の作者として正しいものはどれか,大正,志賀直哉,武者小路実篤,有島武郎,倉田百三,2
150,『田園の憂鬱』の作者として正しいものはどれか,大正,室生犀星,萩原朔太郎,佐藤春夫,堀口大学,3
151,『あにいもうと』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,芥川龍之介,広津和郎,1
152,『腕くらべ』の作者として正しいものはどれか,大正,谷崎潤一郎,永井荷風,久保田万太郎,里見弴,2
153,『春は馬車に乗って』の作者として正しいものはどれか,昭和,川端康成,横光利一,堀辰雄,梶井基次郎,2
154,『風立ちぬ』の作者として正しいものはどれか,昭和,川端康成,横光利一,堀辰雄,伊藤整,3
155,『ヴィヨンの妻』の作者として正しいものはどれか,昭和,坂口安吾,織田作之助,太宰治,石川淳,3
156,『白痴』の作者として正しいものはどれか,昭和,太宰治,坂口安吾,織田作之助,田中英光,2
157,『真空地帯』の作者として正しいものはどれか,昭和,大岡昇平,武田泰淳,野間宏,椎名麟三,3
158,『砂の女』の作者として正しいものはどれか,昭和,安部公房,三島由紀夫,大江健三郎,井上靖,1
159,『個人的な体験』の作者として正しいものはどれか,昭和,三島由紀夫,大江健三郎,安部公房,中上健次,2
160,『岬』の作者として正しいものはどれか,昭和,大江健三郎,中上健次,古井由吉,後藤明生,2
161,『キッチン』の作者として正しいものはどれか,平成,川上未映子,江國香織,吉本ばなな,小川洋子,3
162,『蛇にピアス』の作者として正しいものはどれか,平成,綿矢りさ,金原ひとみ,村田沙耶香,本谷有希子,2
163,『博士の愛した数式』の作者として正しいものはどれか,平成,江國香織,角田光代,小川洋子,川上弘美,3
164,『コンビニ人間』の作者として正しいものはどれか,平成,川上未映子,今村夏子,村田沙耶香,本谷有希子,3
165,『乳と卵』の作者として正しいものはどれか,平成,川上未映子,綿矢りさ,金原ひとみ,山崎ナオコーラ,1
166,『武蔵野』と並び、自然主義の先駆とされる『牛肉と馬鈴薯』の作者は誰か,明治,島崎藤村,国木田独歩,田山花袋,岩野泡鳴,2
167,言文一致体の先駆とされる『武蔵野』以前の作品『武蔵野（書き出しが「武蔵野の…」）』を執筆した山田美妙と並ぶ文体改革者は誰か,明治,二葉亭四迷,尾崎紅葉,坪内逍遥,幸田露伴,1
168,『高瀬舟』や『山椒大夫』など、歴史の事実に拠りつつ独自の倫理観を描いた鷗外の「歴史小説」の先駆作はどれか,明治・大正,阿部一族,寒山拾得,渋江抽斎,最後の一句,1
169,『冷笑』や『ふらんす物語』において、明治末期の日本社会を冷徹に批判した作家は誰か,明治,永井荷風,夏目漱石,森鷗外,内田魯庵,1
170,『婦系図（おんなけいず）』において、師・紅葉譲りの情念と独自の幻想世界を描いたのは誰か,明治,幸田露伴,泉鏡花,徳冨蘆花,徳田秋声,2
171,『出家とその弟子』の作者であり、大正期の宗教的・人道的な精神を象徴する作家は誰か,大正,有島武郎,武者小路実篤,倉田百三,阿部次郎,3
172,『友情』と並ぶ白樺派の青春小説の古典『愛と認識との出発』を著したのは誰か,大正,武者小路実篤,志賀直哉,有島武郎,倉田百三,4
173,『縮図』や『あらくれ』を著し、自然主義の伝統を大正・昭和へと継承した作家は誰か,大正・昭和,田山花袋,島崎藤村,徳田秋声,近松秋江,3
174,『地蔵尊』を著し、大正期の私小説・心境小説の深化に貢献した「漱石門下」の作家は誰か,大正,芥川龍之介,菊池寛,内田百閒,久米正雄,3
175,『麦と兵隊』などの「兵隊三部作」を著し、戦時下の国民的作家となったのは誰か,昭和,火野葦平,石川達三,上林暁,尾崎一雄,1
176,『生きている兵隊』で検閲を受けつつも、戦場の実態を描こうとした作家は誰か,昭和,火野葦平,石川達三,大岡昇平,野間宏,2
177,『雪国』の作者・川端康成が、戦後直後に「あわれ」の精神を深めた古典的回帰を示す作品はどれか,昭和,千羽鶴,山の音,みづうみ,古都,1
178,『氷壁』や『敦煌』において、現代的な孤独と壮大な歴史ロマンを並行して描いた作家は誰か,昭和,井上靖,司馬遼太郎,大佛次郎,新田次郎,1
179,『不毛地帯』や『沈まぬ太陽』など、巨大な組織と個人の対峙を綿密な取材で描いた社会派作家は誰か,昭和,松本清張,山崎豊子,有吉佐和子,城山三郎,2
180,『恍惚の人』や『華岡青洲の妻』など、社会問題と歴史を女性の視点から描いた作家は誰か,昭和,円地文子,幸田文,有吉佐和子,瀬戸内寂聴,3
181,『火車』や『理由』において、現代社会の歪みをミステリーの枠組みで描き切った作家は誰か,平成,宮部みゆき,桐野夏生,東野圭吾,湊かなえ,1
182,『1Q84』の作者・村上春樹が、地下鉄サリン事件の取材をもとに著したノンフィクションはどれか,平成,アンダーグラウンド,約束された場所で,神の子どもたちはみな踊る,ねじまき鳥クロニクル,1
183,『蹴りたい背中』の作者・綿矢りさのデビュー作であり、17歳で文藝賞を受賞した作品はどれか,平成,インストール,夢を与える,勝手にふるえてろ,手のひらの京,1
184,明治初期の文学思潮として正しいものはどれか,明治,無頼派,新感覚派,プロレタリア文学,擬古典主義,4
185,明治期の言文一致運動について誤っているものはどれか,明治,二葉亭四迷が推進,和歌改革が中心,話し言葉重視,小説文体変革,2
186,坪内逍遥の文学論として正しいものはどれか,明治,即興詩人,詩歌革新論,小説神髄,日本浪漫派宣言,3
187,明治期の硯友社について誤っているものはどれか,明治,写実主義重視,尾崎紅葉が中心,雅俗折衷体,近代恋愛描写,1
188,幸田露伴の文学的傾向として正しいものはどれか,明治,色彩美重視,自然主義,社会主義思想,理想主義,4
189,明治期の自然主義文学者として誤っているものはどれか,明治,田山花袋,島崎藤村,尾崎紅葉,徳田秋声,3
190,『破戒』について正しいものはどれか,明治,浪漫主義詩集,自然主義小説,明治末期戯曲,随筆作品,2
191,『小説神髄』が批判した従来の小説観として正しいものはどれか,明治,写実主義,自然主義,勧善懲悪主義,象徴主義,3
192,森鷗外の明治期文学に関する説明として誤っているものはどれか,明治,翻訳文学に貢献,自然主義全面肯定,知的構成重視,西洋思想導入,2
193,明治期の浪漫主義詩に強い影響を与えた外国文学として正しいものはどれか,明治,英仏ロマン派,ロシア写実主義,ドイツ自然主義,米国リアリズム,1
194,硯友社文学の文章的特徴として最も適切なものはどれか,明治,言文一致体,写生文体,口語自由詩,雅俗折衷体,4
195,明治期の評論活動について誤っているものはどれか,明治,文学批評が成立,詩歌批評は皆無,西洋理論の導入,小説理論が発展,2
196,明治期に文学の近代化を制度面から支えた動きとして正しいものはどれか,明治,講談復興運動,新聞小説の普及,歌舞伎改良運動,口承文芸重視,2
197,森鷗外が明治期に重視した文学姿勢として正しいものはどれか,明治,芸術の自律性,大衆娯楽性,告愛的内面暴露,階級闘争性,1
198,明治期における「言文一致」の到達点として最も適切な説明はどれか,明治,口語詩の成立,和歌改革の完成,評論文形式統一,小説文体の近代化,4
199,明治期の文学と国家との関係について誤っているものはどれか,明治,完全な表現自由,検閲制度が存在,思想統制の影響,教育制度との関係,1
200,北村透谷が主張した肉体を超越した精神の自由を尊ぶ概念は何か,明治,歌よみに与ふ,解体新書,内部生命論,小説神髄,3
201,国木田独歩が『武蔵野』において示した視点を何と呼ぶか,明治,写生の発見,風景の発見,遠近法の発見,内面の発見,2
202,明治10年代に自由民権運動の宣伝媒体として流行したジャンルはどれか,明治,写実小説,政治小説,社会小説,風俗小説,2
203,石川啄木が大逆事件に衝撃を受け文学の傍観者性を拒絶した評論は何か,明治,時代閉塞の現状,一握の砂,悲しき玩具,食ふべき詩,1
204,白樺派の思想的特徴として正しいものはどれか,大正,階級闘争重視,人道主義重視,耽美主義追求,虚無思想強調,2
205,大正期の耽美派作家として正しいものはどれか,大正,志賀直哉,島崎藤村,谷崎潤一郎,田山花袋,3
206,志賀直哉の大正期作品に共通する特徴として誤っているものはどれか,大正,簡潔な文体,社会革命の主張,内面倫理の追究,日常題材重視,2
207,大正期文学が明治文学から継承しなかった要素として誤っているものはどれか,大正,内面描写の重視,西洋思想受容,個人表現の追究,道徳的教訓性,4
208,有島武郎が主張した本能的な生命力と愛を肯定する思想はどれか,大正,人道主義,生長の哲学,理想主義,虚無主義,2
209,芥川龍之介が提唱した芸術的な再構成や技巧を重視する態度はどれか,大正,新現実主義,自然主義,耽美主義,シュルレアリスム,1
